nic08_2d,Espend,Espend_gmean,Lspend_gmean,LogY,Mspend,Mspend_gmean,KM,LM
26,15267501.00000001,1642919.177984822,11242429.73406081,17.75622591270211,25479831.99999999,44152545.54888561,.9779284960979872,.8222423393266408
26,2318160.999999999,1642919.177984822,11242429.73406081,17.17256268613749,18739941.99999999,44152545.54888561,.5484235751931522,.958255595881619
26,1942495.999999999,1642919.177984822,11242429.73406081,17.97163747157523,41479744.00000007,44152545.54888561,.6798243011687207,.5628036319220295
26,5021559.999999999,1642919.177984822,11242429.73406081,18.03596513824204,48789551.00000008,44152545.54888561,.5299613851435294,.4784825868636507
26,13024766.00000002,1642919.177984822,11242429.73406081,18.30581634243664,56119650.00000004,44152545.54888561,.4353131209872727,.4159853201934801
26,12829157.99999998,1642919.177984822,11242429.73406081,18.7051542344059,94498795.99999993,44152545.54888561,.3186888611627147,.3547236164884862
26,2243695,1642919.177984822,11242429.73406081,17.58218378510058,1655246,44152545.54888561,100.8253940481838,73.77274988634881
26,1639902,1642919.177984822,11242429.73406081,17.18555371404028,825075.0000000006,44152545.54888561,129.6870692044443,50.05921263205525
26,1195104,1642919.177984822,11242429.73406081,16.87102111882407,10254497.00000001,44152545.54888561,4.108433493613884,2.801916745482018
26,1434241.000000001,1642919.177984822,11242429.73406081,17.13364131730577,14454639.00000001,44152545.54888561,1.263487701965606,1.863518101835365
26,2336529,1642919.177984822,11242429.73406081,20.62718125206786,804098540.0000006,44152545.54888561,.0407203100872993,.0632758523385182
26,2296845.000000001,1642919.177984822,11242429.73406081,20.31073213257158,617517543.0000002,44152545.54888561,.049598866139624,.0310190883767817
26,1338992.000000001,1642919.177984822,11242429.73406081,19.66755007905941,339223939.9999995,44152545.54888561,.1014772957843762,.0705832820957821
26,1301672.999999999,1642919.177984822,11242429.73406081,17.99154187567239,47066972.00000006,44152545.54888561,.6692930845010505,.839374995986427
26,1314996.999999999,1642919.177984822,11242429.73406081,17.65106064310593,4002,44152545.54888561,6670.090566077856,5833.32098310746
26,370156.9999999998,1642919.177984822,11242429.73406081,16.09072188478581,1285785.000000001,44152545.54888561,4.906247222048641,10.24195061994379
26,458629.9999999998,1642919.177984822,11242429.73406081,16.09767598133067,2037143,44152545.54888561,2.88428767495754,6.758256516175352
26,13300779.00000002,1642919.177984822,11242429.73406081,19.26591829765033,174743682,44152545.54888561,.4279022399937149,.1952548026726038
26,575097.0000000002,1642919.177984822,11242429.73406081,17.7243453062979,31315903.00000001,44152545.54888561,.560261868978055,.8601534316923716
26,568493,1642919.177984822,11242429.73406081,18.11192713788319,36768922.99999999,44152545.54888561,.485144253606254,.7163085237968184
26,710945.0000000002,1642919.177984822,11242429.73406081,18.14210571619484,48555313.00000004,44152545.54888561,.4883122469273182,.8876138908051665
26,10071122,1642919.177984822,11242429.73406081,22.57806565451766,5414240299.000006,44152545.54888561,.1356036533191608,.0391375906676144
26,10085170.99999998,1642919.177984822,11242429.73406081,21.89940109464206,2934236705,44152545.54888561,.3288679477699967,.0716045010314069
26,7934838.000000007,1642919.177984822,11242429.73406081,20.8630658438145,2049183778.999997,44152545.54888561,.4318239939040205,.1422579033316747
26,6518546.999999996,1642919.177984822,11242429.73406081,18.03300152500808,61523000,44152545.54888561,120.8759950728523,4.397737289671953
